Reference,Mission and Vision,Strategy Governance and Executive,Values,Operating Culture Team and Management,Communications and Engagement,Partnerships Networks and Influence,Core products including the Innovation Flow,Research Development and Horizon Scanning,The Machine Layer automated operations systems,CivTech Ventures,Row sum
Mission and Vision,0,8,0,8,8,8,10,6,2,8,58
Strategy Governance and Executive,4,0,3,6,3,8,5,3,1,6,39
Values,6,3,0,10,10,10,10,4,2,5,60
Operating Culture Team and Management,4,2,0,0,8,8,10,4,5,2,43
Communications and Engagement,2,2,0,6,0,8,8,2,1,2,31
Partnerships Networks and Influence,8,2,0,4,7,0,7,5,1,5,39
Core products including the Innovation Flow,8,4,0,7,7,7,0,4,8,7,52
Research Development and Horizon Scanning,0,3,0,3,2,4,5,0,0,6,23
The Machine Layer automated operations systems,0,7,0,8,8,8,10,2,0,2,45
CivTech Ventures,0,2,0,0,4,6,3,4,0,0,19
